lga_code,lga_name,population_2024
10050,Albury,58317
10180,Armidale Regional,29646
10250,Ballina,47935
10300,Balranald,2219
10470,Bathurst Regional,44939
10500,Bayside (NSW),185880
10550,Bega Valley,36593
10600,Bellingen,13278
10650,Berrigan,8666
10750,Blacktown,438843
10800,Bland,5454
10850,Blayney,7767
10900,Blue Mountains,78891
10950,Bogan,2407
11150,Bourke,2349
11200,Brewarrina,1408
11250,Broken Hill,17541
11300,Burwood,43346
11350,Byron,37826
11400,Cabonne,13897
11450,Camden,141133
11500,Campbelltown (NSW),188303
11520,Canada Bay,92255
11570,Canterbury-Bankstown,385242
11600,Carrathool,2767
11650,Central Coast (NSW),354803
11700,Central Darling,1767
11720,Cessnock,69352
11730,Clarence Valley,56037
11750,Cobar,4015
11800,Coffs Harbour,81248
12000,Coolamon,4613
12150,Coonamble,3871
12160,Cootamundra-Gundagai Regional,11424
12350,Cowra,12680
12380,Cumberland,252399
12390,Dubbo Regional,56997
12700,Dungog,9905
12730,Edward River,8411
12750,Eurobodalla,41142
12850,Fairfield,212210
12870,Federation,13075
12900,Forbes,9295
12930,Georges River,161593
12950,Gilgandra,4305
13010,Glen Innes Severn,8978
13310,Goulburn Mulwaree,33112
13340,Greater Hume Shire,11582
13450,Griffith,27340
13550,Gunnedah,13392
13660,Gwydir,4893
13800,Hawkesbury,68704
13850,Hay,2861
13910,Hilltops,19300
14000,Hornsby,154834
14100,Hunters Hill,14062
14170,Inner West,190939
14220,Inverell,18080
14300,Junee,6458
14350,Kempsey,31718
14400,Kiama,23173
14500,Ku-ring-gai,128362
14550,Kyogle,9582
14600,Lachlan,6113
14650,Lake Macquarie,221859
14700,Lane Cove,42566
14750,Leeton,11438
14850,Lismore,43783
14870,Lithgow,20740
14900,Liverpool,254905
14920,Liverpool Plains,7670
14950,Lockhart,3474
15050,Maitland,98163
15240,Mid-Coast,98582
15270,Mid-Western Regional,26214
15300,Moree Plains,12816
15350,Mosman,29253
15520,Murray River,13562
15560,Murrumbidgee,3658
15650,Muswellbrook,16817
15700,Nambucca Valley,20986
15750,Narrabri,12796
15800,Narrandera,5687
15850,Narromine,6432
15900,Newcastle,176860
15950,North Sydney,72909
15990,Northern Beaches,270772
16100,Oberon,5604
16150,Orange,44610
16200,Parkes,14236
16260,Parramatta,274956
16350,Penrith,228661
16380,Port Macquarie-Hastings,90835
16400,Port Stephens,78906
16490,Queanbeyan-Palerang Regional,66855
16550,Randwick,144598
16610,Richmond Valley,23892
16700,Ryde,139047
16900,Shellharbour,81566
16950,Shoalhaven,110803
17000,Singleton,25639
17040,Snowy Monaro Regional,22292
17080,Snowy Valleys,14955
17100,Strathfield,48495
17150,Sutherland Shire,238614
17200,Sydney,237278
17310,Tamworth Regional,65908
17350,Temora,6023
17400,Tenterfield,7081
17420,The Hills Shire,215612
17550,Tweed,99793
17620,Upper Hunter Shire,14408
17640,Upper Lachlan Shire,8875
17650,Uralla,6096
17750,Wagga Wagga,68951
17850,Walcha,2990
17900,Walgett,5497
17950,Warren,2593
18020,Warrumbungle Shire,9239
18050,Waverley,72857
18100,Weddin,3608
18200,Wentworth,7804
18250,Willoughby,79634
18350,Wingecarribee,53552
18400,Wollondilly,59782
18450,Wollongong,221894
18500,Woollahra,55175
18710,Yass Valley,17647
19399,Unincorporated NSW,984
20110,Alpine,13199
20260,Ararat,11686
20570,Ballarat,121050
20660,Banyule,131931
20740,Bass Coast,43557
20830,Baw Baw,61905
20910,Bayside (Vic.),106118
21010,Benalla,14635
21110,Boroondara,178008
21180,Brimbank,198152
21270,Buloke,5956
21370,Campaspe,38153
21450,Cardinia,130383
21610,Casey,405415
21670,Central Goldfields,13704
21750,Colac Otway,22300
21830,Corangamite,15846
21890,Darebin,159963
22110,East Gippsland,49422
22170,Frankston,144615
22250,Gannawarra,10404
22310,Glen Eira,161057
22410,Glenelg,20007
22490,Golden Plains,26337
22620,Greater Bendigo,125805
22670,Greater Dandenong,167298
22750,Greater Geelong,289565
22830,Greater Shepparton,69874
22910,Hepburn,16824
22980,Hindmarsh,5464
23110,Hobsons Bay,95633
23190,Horsham,20376
23270,Hume,271709
23350,Indigo,17788
23430,Kingston (Vic.),166521
23670,Knox,163302
23810,Latrobe (Vic.),78845
23940,Loddon,7755
24130,Macedon Ranges,53738
24210,Manningham,131761
24250,Mansfield,10782
24330,Maribyrnong,94251
24410,Maroondah,119354
24600,Melbourne,189381
24650,Melton,219697
24780,Mildura,57626
24850,Mitchell,56384
24900,Moira,30836
24970,Monash,209268
25060,Moonee Valley,129732
25150,Moorabool,39814
25250,Moreland,186534
25340,Mornington Peninsula,171450
25430,Mount Alexander,20799
25490,Moyne,17717
25620,Murrindindi,15603
25710,Nillumbik,63693
25810,Northern Grampians,11808
25900,Port Phillip,112669
25990,Pyrenees,7958
26080,Queenscliffe,3302
26170,South Gippsland,31022
26260,Southern Grampians,16525
26350,Stonnington,114038
26430,Strathbogie,11739
26490,Surf Coast,39928
26610,Swan Hill,21094
26670,Towong,6237
26700,Wangaratta,30169
26730,Warrnambool,36150
26810,Wellington,46533
26890,West Wimmera,3913
26980,Whitehorse,183462
27070,Whittlesea,253204
27170,Wodonga,44824
27260,Wyndham,337009
27350,Yarra,100706
27450,Yarra Ranges,160137
27630,Yarriambiack,6346
29399,Unincorporated Vic,964
30250,Aurukun,1163
30300,Balonne,4356
30370,Banana,15053
30410,Barcaldine,2917
30450,Barcoo,317
30760,Blackall Tambo,1969
30900,Boulia,479
31000,Brisbane,1355640
31750,Bulloo,347
31820,Bundaberg,106146
31900,Burdekin,17204
31950,Burke,444
32080,Cairns,178104
32250,Carpentaria,2229
32260,Cassowary Coast,30390
32270,Central Highlands (Qld),29336
32310,Charters Towers,12040
32330,Cherbourg,1281
32450,Cloncurry,3882
32500,Cook,4824
32600,Croydon,270
32750,Diamantina,271
32770,Doomadgee,1473
32810,Douglas,13071
33100,Etheridge,727
33200,Flinders (Qld),1552
33220,Fraser Coast,120685
33360,Gladstone,68065
33430,Gold Coast,681389
33610,Goondiwindi,10495
33620,Gympie,57449
33800,Hinchinbrook,11162
33830,Hope Vale,1053
33960,Ipswich,259886
33980,Isaac,23197
34420,Kowanyama,1151
34530,Livingstone,42849
34570,Lockhart River,688
34580,Lockyer Valley,45054
34590,Logan,392339
34710,Longreach,3758
34770,Mackay,128361
34800,McKinlay,852
34830,Mapoon,485
34860,Maranoa,13371
34880,Mareeba,24003
35010,Moreton Bay,522494
35250,Mornington,1087
35300,Mount Isa,18788
35600,Murweh,3992
35670,Napranum,943
35740,Noosa,59274
35760,North Burnett,10482
35780,Northern Peninsula Area,2928
35790,Palm Island,2287
35800,Paroo,1729
36070,Pormpuraaw,647
36150,Quilpie,709
36250,Redland,170225
36300,Richmond,788
36370,Rockhampton,85334
36510,Scenic Rim,46036
36580,Somerset,26579
36630,South Burnett,34745
36660,Southern Downs,37820
36720,Sunshine Coast,375328
36820,Tablelands,27630
36910,Toowoomba,184377
36950,Torres,3495
36960,Torres Strait Island,4289
37010,Townsville,204541
37300,Weipa,4281
37310,Western Downs,35285
37340,Whitsunday,40744
37400,Winton,1141
37550,Woorabinda,1098
37570,Wujal Wujal,301
37600,Yarrabah,2659
40070,Adelaide,29118
40120,Adelaide Hills,42368
40150,Adelaide Plains,11302
40220,Alexandrina,30887
40250,Anangu Pitjantjatjara Yunkunytjatjara,2654
40310,Barossa,26590
40430,Barunga West,2672
40520,Berri Barmera,10747
40700,Burnside,47810
40910,Campbelltown (SA),57988
41010,Ceduna,3744
41060,Charles Sturt,129196
41140,Clare and Gilbert Valleys,9417
41190,Cleve,1757
41330,Coober Pedy,1526
41560,Copper Coast,16299
41750,Elliston,1053
41830,Flinders Ranges,1671
41960,Franklin Harbour,1359
42030,Gawler,27182
42110,Goyder,4135
42250,Grant,9140
42600,Holdfast Bay,39308
42750,Kangaroo Island,5167
43080,Karoonda East Murray,1026
43220,Kimba,1064
43360,Kingston (SA),2406
43650,Light,17028
43710,Lower Eyre Peninsula,6237
43790,Loxton Waikerie,11949
44000,Maralinga Tjarutja,102
44060,Marion,99821
44210,Mid Murray,9593
44340,Mitcham,70484
44550,Mount Barker,43619
44620,Mount Gambier,27888
44830,Mount Remarkable,2873
45040,Murray Bridge,23257
45090,Naracoorte Lucindale,8901
45120,Northern Areas,4667
45290,Norwood Payneham and St Peters,40062
45340,Onkaparinga,182821
45400,Orroroo Carrieton,890
45540,Peterborough,1682
45680,Playford,111135
45890,Port Adelaide Enfield,141042
46090,Port Augusta,14453
46300,Port Lincoln,15037
46450,Port Pirie,17637
46510,Prospect,23309
46670,Renmark Paringa,10173
46860,Robe,1611
46970,Roxby Downs,4089
47140,Salisbury,150272
47290,Southern Mallee,2012
47490,Streaky Bay,2278
47630,Tatiara,7071
47700,Tea Tree Gully,104437
47800,Coorong,5614
47910,Tumby Bay,2948
47980,Unley,40327
48050,Victor Harbor,17124
48130,Wakefield,6985
48260,Walkerville,8562
48340,Wattle Range,12319
48410,West Torrens,65738
48540,Whyalla,21864
48640,Wudinna,1168
48750,Yankalilla,6186
48830,Yorke Peninsula,12150
49399,Unincorporated SA,3010
50080,Albany,41545
50210,Armadale,109218
50250,Ashburton,8179
50280,Augusta Margaret River,19410
50350,Bassendean,17145
50420,Bayswater,75981
50490,Belmont,47377
50560,Beverley,1795
50630,Boddington,1808
50770,Boyup Brook,1959
50840,Bridgetown-Greenbushes,5797
50910,Brookton,962
50980,Broome,18870
51080,Broomehill-Tambellup,1101
51120,Bruce Rock,1066
51190,Bunbury,35174
51260,Busselton,45003
51310,Cambridge,32006
51330,Canning,106944
51400,Capel,19701
51470,Carnamah,586
51540,Carnarvon,5599
51610,Chapman Valley,1698
51680,Chittering,6753
51710,Christmas Island,1865
51750,Claremont,12671
51820,Cockburn,135149
51860,Cocos Islands,625
51890,Collie,9408
51960,Coolgardie,3779
52030,Coorow,1125
52100,Corrigin,1039
52170,Cottesloe,8967
52240,Cranbrook,1152
52310,Cuballing,955
52380,Cue,229
52450,Cunderdin,1316
52520,Dalwallinu,1466
52590,Dandaragan,3921
52660,Dardanup,15930
52730,Denmark,6707
52800,Derby-West Kimberley,8536
52870,Donnybrook-Balingup,6584
52940,Dowerin,740
53010,Dumbleyung,708
53080,Dundas,723
53150,East Fremantle,8361
53220,East Pilbara,10403
53290,Esperance,14558
53360,Exmouth,3566
53430,Fremantle,36349
53570,Gingin,6348
53640,Gnowangerup,1271
53710,Goomalling,992
53780,Gosnells,141279
53800,Greater Geraldton,42322
53920,Halls Creek,4213
53990,Harvey,31495
54060,Irwin,3864
54130,Jerramungup,1217
54170,Joondalup,173469
54200,Kalamunda,63827
54280,Kalgoorlie-Boulder,30991
54310,Karratha,24716
54340,Katanning,4294
54410,Kellerberrin,1159
54480,Kent,526
54550,Kojonup,1965
54620,Kondinin,862
54690,Koorda,373
54760,Kulin,800
54830,Kwinana,54672
54900,Lake Grace,1319
54970,Laverton,1444
55040,Leonora,1737
55110,Mandurah,102922
55180,Manjimup,9523
55250,Meekatharra,1286
55320,Melville,113404
55390,Menzies,577
55460,Merredin,3335
55530,Mingenew,421
55600,Moora,2432
55670,Morawa,686
55740,Mosman Park,10281
55810,Mount Magnet,696
55880,Mount Marshall,466
55950,Mukinbudin,603
56090,Mundaring,42327
56160,Murchison,105
56230,Murray,20563
56300,Nannup,1675
56370,Narembeen,848
56460,Narrogin,5029
56580,Nedlands,25104
56620,Ngaanyatjarraku,1482
56730,Northam,12416
56790,Northampton,3382
56860,Nungarin,258
56930,Peppermint Grove,1782
57000,Perenjori,659
57080,Perth,34624
57140,Pingelly,1091
57210,Plantagenet,5734
57280,Port Hedland,17448
57350,Quairading,967
57420,Ravensthorpe,2280
57490,Rockingham,154132
57630,Sandstone,115
57700,Serpentine-Jarrahdale,38631
57770,Shark Bay,1164
57840,South Perth,47909
57910,Stirling,249872
57980,Subiaco,19452
58050,Swan,179207
58190,Tammin,401
58260,Three Springs,600
58330,Toodyay,5081
58400,Trayning,306
58470,Upper Gascoyne,201
58510,Victoria Park,42352
58540,Victoria Plains,834
58570,Vincent,41479
58610,Wagin,1825
58680,Wandering,547
58760,Wanneroo,237628
58820,Waroona,4537
58890,West Arthur,789
59030,Westonia,246
59100,Wickepin,710
59170,Williams,1063
59250,Wiluna,563
59310,Wongan-Ballidu,1343
59320,Woodanilling,490
59330,Wyalkatchem,492
59340,Wyndham-East Kimberley,8315
59350,Yalgoo,353
59360,Yilgarn,1212
59370,York,3649
60210,Break O'Day,7163
60410,Brighton,20284
60610,Burnie,20417
60810,Central Coast (Tas.),23350
61010,Central Highlands (Tas.),2588
61210,Circular Head,8315
61410,Clarence,63973
61510,Derwent Valley,11436
61610,Devonport,27030
61810,Dorset,7013
62010,Flinders (Tas.),941
62210,George Town,7378
62410,Glamorgan-Spring Bay,5283
62610,Glenorchy,50743
62810,Hobart,55977
63010,Huon Valley,19742
63210,Kentish,6859
63410,King Island,1660
63610,Kingborough,41574
63810,Latrobe (Tas.),13158
64010,Launceston,71616
64210,Meander Valley,21579
64610,Northern Midlands,14428
64810,Sorell,17919
65010,Southern Midlands,6973
65210,Tasman,2722
65410,Waratah-Wynyard,14905
65610,West Coast,4339
65810,West Tamar,26131
70200,Alice Springs,29693
70420,Barkly,7288
70540,Belyuen,167
70620,Central Desert,4128
70700,Coomalie,1410
71000,Darwin,86070
71150,Darwin Waterfront Precinct,309
71300,East Arnhem,10040
72200,Katherine,10857
72300,Litchfield,23940
72330,MacDonnell,6769
72800,Palmerston,41538
73600,Roper Gulf,7516
74050,Tiwi Islands,2744
74550,Victoria Daly,3307
74560,Wagait,481
74660,West Arnhem,7467
74680,West Daly,3448
79399,Unincorporated NT,7897
89399,Unincorporated ACT,473855
99399,Unincorp. Other Territories,2504
