granularity,series,year,month_num,month_label,date,display_date,value,index
annual,International inbound airline passengers,2018,,,2018-01-01,2018-01-01,41575313.0,92.71655866021557
annual,International inbound airline passengers,2019,,,2019-01-01,2019-01-01,42508455.0,94.79754636032767
annual,International inbound airline passengers,2020,,,2020-01-01,2020-01-01,9302204.0,20.74472278381384
annual,International inbound airline passengers,2021,,,2021-01-01,2021-01-01,1555361.0,3.468590107651421
annual,International inbound airline passengers,2022,,,2022-01-01,2022-01-01,19078758.0,42.547287263262625
annual,International inbound airline passengers,2023,,,2023-01-01,2023-01-01,35778040.0,79.78813639737453
annual,International inbound airline passengers,2024,,,2024-01-01,2024-01-01,41357825.0,92.23154153214504
annual,International inbound airline passengers,2025,,,2025-01-01,2025-01-01,44841303.0,100.0
annual,NSW public transport trips,2018,,,2018-01-01,2018-01-01,714865303.0,94.91067672514718
annual,NSW public transport trips,2019,,,2019-01-01,2019-01-01,753197983.26819,100.0
annual,NSW public transport trips,2020,,,2020-01-01,2020-01-01,415476701.0,55.1616852712764
annual,NSW public transport trips,2021,,,2021-01-01,2021-01-01,329991592.0,43.81206526445258
annual,NSW public transport trips,2022,,,2022-01-01,2022-01-01,437435557.0,58.07710146831913
annual,NSW public transport trips,2023,,,2023-01-01,2023-01-01,598957085.0,79.52186520748161
annual,NSW public transport trips,2024,,,2024-01-01,2024-01-01,651190649.82,86.45677023648265
annual,NSW public transport trips,2025,,,2025-01-01,2025-01-01,665188051.07,88.31516624403223
annual,VIC public transport trips,2018,,,2018-01-01,2018-01-01,605292158.0,100.0
annual,VIC public transport trips,2019,,,2019-01-01,2019-01-01,603083274.0,99.63507143272786
annual,VIC public transport trips,2020,,,2020-01-01,2020-01-01,226823636.0,37.47341395425777
annual,VIC public transport trips,2021,,,2021-01-01,2021-01-01,243130111.0,40.16739813767751
annual,VIC public transport trips,2022,,,2022-01-01,2022-01-01,379404227.0,62.6811733780962
annual,VIC public transport trips,2023,,,2023-01-01,2023-01-01,466669113.0,77.09815943130062
annual,VIC public transport trips,2024,,,2024-01-01,2024-01-01,501472879.0,82.84807136060732
annual,VIC public transport trips,2025,,,2025-01-01,2025-01-01,490207817.0,80.9869763751342
monthly,International inbound airline passengers,2018,1.0,Jan,2018-01-01,2018-01-01,3885401.0,98.3501658870763
monthly,International inbound airline passengers,2018,2.0,Feb,2018-02-01,2018-02-01,3187620.0,80.68741316146317
monthly,International inbound airline passengers,2018,3.0,Mar,2018-03-01,2018-03-01,3370279.0,85.31101390454413
monthly,International inbound airline passengers,2018,4.0,Apr,2018-04-01,2018-04-01,3362133.0,85.10481628136027
monthly,International inbound airline passengers,2018,5.0,May,2018-05-01,2018-05-01,3026652.0,76.61287117660474
monthly,International inbound airline passengers,2018,6.0,Jun,2018-06-01,2018-06-01,3276906.0,82.94748693799062
monthly,International inbound airline passengers,2018,7.0,Jul,2018-07-01,2018-07-01,3711115.0,93.93850876036146
monthly,International inbound airline passengers,2018,8.0,Aug,2018-08-01,2018-08-01,3469473.0,87.82188636146753
monthly,International inbound airline passengers,2018,9.0,Sep,2018-09-01,2018-09-01,3462722.0,87.65100001797205
monthly,International inbound airline passengers,2018,10.0,Oct,2018-10-01,2018-10-01,3547757.0,89.80346931424482
monthly,International inbound airline passengers,2018,11.0,Nov,2018-11-01,2018-11-01,3324676.0,84.15667678079592
monthly,International inbound airline passengers,2018,12.0,Dec,2018-12-01,2018-12-01,3950579.0,100.0
monthly,International inbound airline passengers,2019,1.0,Jan,2019-01-01,2019-01-01,4073072.0,100.0
monthly,International inbound airline passengers,2019,2.0,Feb,2019-02-01,2019-02-01,3256808.0,79.95949985661927
monthly,International inbound airline passengers,2019,3.0,Mar,2019-03-01,2019-03-01,3285273.0,80.65835811397393
monthly,International inbound airline passengers,2019,4.0,Apr,2019-04-01,2019-04-01,3502996.0,86.00378289409075
monthly,International inbound airline passengers,2019,5.0,May,2019-05-01,2019-05-01,3207929.0,78.75944741462955
monthly,International inbound airline passengers,2019,6.0,Jun,2019-06-01,2019-06-01,3328604.0,81.72219887102413
monthly,International inbound airline passengers,2019,7.0,Jul,2019-07-01,2019-07-01,3735622.0,91.71509857915598
monthly,International inbound airline passengers,2019,8.0,Aug,2019-08-01,2019-08-01,3568710.0,87.61715972612319
monthly,International inbound airline passengers,2019,9.0,Sep,2019-09-01,2019-09-01,3496774.0,85.85102350265352
monthly,International inbound airline passengers,2019,10.0,Oct,2019-10-01,2019-10-01,3587163.0,88.07020843235769
monthly,International inbound airline passengers,2019,11.0,Nov,2019-11-01,2019-11-01,3426434.0,84.12407146252264
monthly,International inbound airline passengers,2019,12.0,Dec,2019-12-01,2019-12-01,4039070.0,99.16520012413234
monthly,International inbound airline passengers,2020,1.0,Jan,2020-01-01,2020-01-01,4154051.0,100.0
monthly,International inbound airline passengers,2020,2.0,Feb,2020-02-01,2020-02-01,2805429.0,67.5347750906284
monthly,International inbound airline passengers,2020,3.0,Mar,2020-03-01,2020-03-01,1725729.0,41.54327907866321
monthly,International inbound airline passengers,2020,4.0,Apr,2020-04-01,2020-04-01,75306.0,1.81283282270728
monthly,International inbound airline passengers,2020,5.0,May,2020-05-01,2020-05-01,52989.0,1.2755982052218424
monthly,International inbound airline passengers,2020,6.0,Jun,2020-06-01,2020-06-01,64835.0,1.5607656237248893
monthly,International inbound airline passengers,2020,7.0,Jul,2020-07-01,2020-07-01,73851.0,1.7778067722326953
monthly,International inbound airline passengers,2020,8.0,Aug,2020-08-01,2020-08-01,71998.0,1.7331997127623133
monthly,International inbound airline passengers,2020,9.0,Sep,2020-09-01,2020-09-01,62120.0,1.4954077357259214
monthly,International inbound airline passengers,2020,10.0,Oct,2020-10-01,2020-10-01,69177.0,1.6652900987493895
monthly,International inbound airline passengers,2020,11.0,Nov,2020-11-01,2020-11-01,67211.0,1.6179628030565825
monthly,International inbound airline passengers,2020,12.0,Dec,2020-12-01,2020-12-01,79508.0,1.9139870935624046
monthly,International inbound airline passengers,2021,1.0,Jan,2021-01-01,2021-01-01,67472.0,16.836137609573882
monthly,International inbound airline passengers,2021,2.0,Feb,2021-02-01,2021-02-01,51613.0,12.878876725796431
monthly,International inbound airline passengers,2021,3.0,Mar,2021-03-01,2021-03-01,58491.0,14.595128718899483
monthly,International inbound airline passengers,2021,4.0,Apr,2021-04-01,2021-04-01,112938.0,28.18116714118531
monthly,International inbound airline passengers,2021,5.0,May,2021-05-01,2021-05-01,214246.0,53.46032633241591
monthly,International inbound airline passengers,2021,6.0,Jun,2021-06-01,2021-06-01,194290.0,48.48075018028381
monthly,International inbound airline passengers,2021,7.0,Jul,2021-07-01,2021-07-01,154692.0,38.599949595390726
monthly,International inbound airline passengers,2021,8.0,Aug,2021-08-01,2021-08-01,56357.0,14.062636460498506
monthly,International inbound airline passengers,2021,9.0,Sep,2021-09-01,2021-09-01,42149.0,10.517345922841024
monthly,International inbound airline passengers,2021,10.0,Oct,2021-10-01,2021-10-01,46145.0,11.514458886557192
monthly,International inbound airline passengers,2021,11.0,Nov,2021-11-01,2021-11-01,156211.0,38.978982276042586
monthly,International inbound airline passengers,2021,12.0,Dec,2021-12-01,2021-12-01,400757.0,100.0
monthly,International inbound airline passengers,2022,1.0,Jan,2022-01-01,2022-01-01,442275.0,16.105667599996067
monthly,International inbound airline passengers,2022,2.0,Feb,2022-02-01,2022-02-01,436390.0,15.891362351392873
monthly,International inbound airline passengers,2022,3.0,Mar,2022-03-01,2022-03-01,698111.0,25.422064810131378
monthly,International inbound airline passengers,2022,4.0,Apr,2022-04-01,2022-04-01,1165779.0,42.45243133583362
monthly,International inbound airline passengers,2022,5.0,May,2022-05-01,2022-05-01,1294714.0,47.14766450977629
monthly,International inbound airline passengers,2022,6.0,Jun,2022-06-01,2022-06-01,1615898.0,58.84374215928651
monthly,International inbound airline passengers,2022,7.0,Jul,2022-07-01,2022-07-01,2057279.0,74.91685429755765
monthly,International inbound airline passengers,2022,8.0,Aug,2022-08-01,2022-08-01,1969555.0,71.72234051192189
monthly,International inbound airline passengers,2022,9.0,Sep,2022-09-01,2022-09-01,2095491.0,76.30836358551434
monthly,International inbound airline passengers,2022,10.0,Oct,2022-10-01,2022-10-01,2197210.0,80.01251236761598
monthly,International inbound airline passengers,2022,11.0,Nov,2022-11-01,2022-11-01,2359973.0,85.93960925434519
monthly,International inbound airline passengers,2022,12.0,Dec,2022-12-01,2022-12-01,2746083.0,100.0
monthly,International inbound airline passengers,2023,1.0,Jan,2023-01-01,2023-01-01,2960999.0,80.87584665650233
monthly,International inbound airline passengers,2023,2.0,Feb,2023-02-01,2023-02-01,2426435.0,66.27492443664123
monthly,International inbound airline passengers,2023,3.0,Mar,2023-03-01,2023-03-01,2649592.0,72.37016841082868
monthly,International inbound airline passengers,2023,4.0,Apr,2023-04-01,2023-04-01,2775959.0,75.82171909167735
monthly,International inbound airline passengers,2023,5.0,May,2023-05-01,2023-05-01,2654594.0,72.50679155219949
monthly,International inbound airline passengers,2023,6.0,Jun,2023-06-01,2023-06-01,2894148.0,79.0498983110845
monthly,International inbound airline passengers,2023,7.0,Jul,2023-07-01,2023-07-01,3233840.0,88.32814464025941
monthly,International inbound airline passengers,2023,8.0,Aug,2023-08-01,2023-08-01,3057727.0,83.51784650026795
monthly,International inbound airline passengers,2023,9.0,Sep,2023-09-01,2023-09-01,3179078.0,86.8323916479067
monthly,International inbound airline passengers,2023,10.0,Oct,2023-10-01,2023-10-01,3171329.0,86.62073776496341
monthly,International inbound airline passengers,2023,11.0,Nov,2023-11-01,2023-11-01,3113173.0,85.0322820653311
monthly,International inbound airline passengers,2023,12.0,Dec,2023-12-01,2023-12-01,3661166.0,100.0
monthly,International inbound airline passengers,2024,1.0,Jan,2024-01-01,2024-01-01,3808592.0,93.05074215244609
monthly,International inbound airline passengers,2024,2.0,Feb,2024-02-01,2024-02-01,3210242.0,78.43197711620276
monthly,International inbound airline passengers,2024,3.0,Mar,2024-03-01,2024-03-01,3265630.0,79.78520542376096
monthly,International inbound airline passengers,2024,4.0,Apr,2024-04-01,2024-04-01,3233748.0,79.00627090903627
monthly,International inbound airline passengers,2024,5.0,May,2024-05-01,2024-05-01,3027361.0,73.96386586259997
monthly,International inbound airline passengers,2024,6.0,Jun,2024-06-01,2024-06-01,3281165.0,80.16475337201538
monthly,International inbound airline passengers,2024,7.0,Jul,2024-07-01,2024-07-01,3569752.0,87.2154520358649
monthly,International inbound airline passengers,2024,8.0,Aug,2024-08-01,2024-08-01,3341598.0,81.64124008954742
monthly,International inbound airline passengers,2024,9.0,Sep,2024-09-01,2024-09-01,3516807.0,85.92191060552496
monthly,International inbound airline passengers,2024,10.0,Oct,2024-10-01,2024-10-01,3557395.0,86.91354833476545
monthly,International inbound airline passengers,2024,11.0,Nov,2024-11-01,2024-11-01,3452508.0,84.35097056530535
monthly,International inbound airline passengers,2024,12.0,Dec,2024-12-01,2024-12-01,4093027.0,100.0
monthly,International inbound airline passengers,2025,1.0,Jan,2025-01-01,2025-01-01,4371977.0,98.9024753573866
monthly,International inbound airline passengers,2025,2.0,Feb,2025-02-01,2025-02-01,3348976.0,75.76023760245747
monthly,International inbound airline passengers,2025,3.0,Mar,2025-03-01,2025-03-01,3318356.0,75.06755468224924
monthly,International inbound airline passengers,2025,4.0,Apr,2025-04-01,2025-04-01,3649866.0,82.56694445619527
monthly,International inbound airline passengers,2025,5.0,May,2025-05-01,2025-05-01,3348058.0,75.73947068799792
monthly,International inbound airline passengers,2025,6.0,Jun,2025-06-01,2025-06-01,3442297.0,77.87133697531023
monthly,International inbound airline passengers,2025,7.0,Jul,2025-07-01,2025-07-01,3895511.0,88.12390382701658
monthly,International inbound airline passengers,2025,8.0,Aug,2025-08-01,2025-08-01,3655818.0,82.70159007151466
monthly,International inbound airline passengers,2025,9.0,Sep,2025-09-01,2025-09-01,3755774.0,84.96278582501998
monthly,International inbound airline passengers,2025,10.0,Oct,2025-10-01,2025-10-01,3896455.0,88.14525891116669
monthly,International inbound airline passengers,2025,11.0,Nov,2025-11-01,2025-11-01,3737722.0,84.55441508447134
monthly,International inbound airline passengers,2025,12.0,Dec,2025-12-01,2025-12-01,4420493.0,100.0
monthly,NSW public transport trips,2018,1.0,Jan,2018-01-01,2018-01-01,50833509.0,77.33233660662995
monthly,NSW public transport trips,2018,2.0,Feb,2018-02-01,2018-02-01,55870795.0,84.99549235170875
monthly,NSW public transport trips,2018,3.0,Mar,2018-03-01,2018-03-01,64256719.0,97.75288624961213
monthly,NSW public transport trips,2018,4.0,Apr,2018-04-01,2018-04-01,56888914.0,86.54434315430838
monthly,NSW public transport trips,2018,5.0,May,2018-05-01,2018-05-01,65733833.0,100.0
monthly,NSW public transport trips,2018,6.0,Jun,2018-06-01,2018-06-01,58251597.0,88.61737455656967
monthly,NSW public transport trips,2018,7.0,Jul,2018-07-01,2018-07-01,58691169.0,89.28608955452209
monthly,NSW public transport trips,2018,8.0,Aug,2018-08-01,2018-08-01,64650667.0,98.35219406724693
monthly,NSW public transport trips,2018,9.0,Sep,2018-09-01,2018-09-01,59444297.0,90.4318130969177
monthly,NSW public transport trips,2018,10.0,Oct,2018-10-01,2018-10-01,61867787.0,94.1186359846078
monthly,NSW public transport trips,2018,11.0,Nov,2018-11-01,2018-11-01,63553218.0,96.68265959783602
monthly,NSW public transport trips,2018,12.0,Dec,2018-12-01,2018-12-01,54822798.0,83.40118854776048
monthly,NSW public transport trips,2019,1.0,Jan,2019-01-01,2019-01-01,54210931.0,79.19844861946808
monthly,NSW public transport trips,2019,2.0,Feb,2019-02-01,2019-02-01,60087643.0,87.78392141615205
monthly,NSW public transport trips,2019,3.0,Mar,2019-03-01,2019-03-01,67583312.0,98.7345792487032
monthly,NSW public transport trips,2019,4.0,Apr,2019-04-01,2019-04-01,59590909.0,87.05822714285976
monthly,NSW public transport trips,2019,5.0,May,2019-05-01,2019-05-01,68449486.0,100.0
monthly,NSW public transport trips,2019,6.0,Jun,2019-06-01,2019-06-01,60163410.0,87.89461180175991
monthly,NSW public transport trips,2019,7.0,Jul,2019-07-01,2019-07-01,63675286.0,93.02522154804785
monthly,NSW public transport trips,2019,8.0,Aug,2019-08-01,2019-08-01,66059669.934723005,96.50864278911168
monthly,NSW public transport trips,2019,9.0,Sep,2019-09-01,2019-09-01,63148128.0,92.2550798993582
monthly,NSW public transport trips,2019,10.0,Oct,2019-10-01,2019-10-01,66208609.333467,96.72623302601131
monthly,NSW public transport trips,2019,11.0,Nov,2019-11-01,2019-11-01,65481522.0,95.66400834624237
monthly,NSW public transport trips,2019,12.0,Dec,2019-12-01,2019-12-01,58539077.0,85.52157279895425
monthly,NSW public transport trips,2020,1.0,Jan,2020-01-01,2020-01-01,57098170.0,94.70671202671977
monthly,NSW public transport trips,2020,2.0,Feb,2020-02-01,2020-02-01,60289465.0,100.0
monthly,NSW public transport trips,2020,3.0,Mar,2020-03-01,2020-03-01,45048295.0,74.72001119930323
monthly,NSW public transport trips,2020,4.0,Apr,2020-04-01,2020-04-01,12186661.0,20.213582920332765
monthly,NSW public transport trips,2020,5.0,May,2020-05-01,2020-05-01,18970297.0,31.46535966109502
